Date : 2019-11-20 18:03:23
Directory : /Users/dfarinha/Documents/Blockchain final/Blockchain front/blockchain-fe
Total : 141 files,  24913 codes, 2239 comments, 3788 blanks, all 30940 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src/app/check-serial/check-serial.component.html                    | HTML       |         52 |          0 |          3 |         55 |
| src/app/check-serial/check-serial.component.scss                    | SCSS       |          0 |          0 |          1 |          1 |
| src/app/check-serial/check-serial.component.spec.ts                 | TypeScript |         20 |          0 |          6 |         26 |
| src/app/check-serial/check-serial.component.ts                      | TypeScript |         31 |          0 |          5 |         36 |
| src/app/components/basicelements/basicelements.component.html       | HTML       |        301 |          0 |          1 |        302 |
| src/app/components/basicelements/basicelements.component.scss       | SCSS       |          0 |          0 |          1 |          1 |
| src/app/components/basicelements/basicelements.component.spec.ts    | TypeScript |         20 |          0 |          6 |         26 |
| src/app/components/basicelements/basicelements.component.ts         | TypeScript |         14 |          0 |          4 |         18 |
| src/app/components/components.component.html                        | HTML       |        243 |         13 |          6 |        262 |
| src/app/components/components.component.ts                          | TypeScript |         47 |          2 |         10 |         59 |
| src/app/components/components.module.ts                             | TypeScript |         31 |          0 |          4 |         35 |
| src/app/components/navigation/navigation.component.html             | HTML       |        226 |          0 |          1 |        227 |
| src/app/components/navigation/navigation.component.scss             | SCSS       |          0 |          0 |          1 |          1 |
| src/app/components/navigation/navigation.component.spec.ts          | TypeScript |         20 |          0 |          6 |         26 |
| src/app/components/navigation/navigation.component.ts               | TypeScript |         10 |          0 |          5 |         15 |
| src/app/components/nucleoicons/nucleoicons.component.html           | HTML       |        410 |          1 |        101 |        512 |
| src/app/components/nucleoicons/nucleoicons.component.scss           | SCSS       |          0 |          0 |          1 |          1 |
| src/app/components/nucleoicons/nucleoicons.component.spec.ts        | TypeScript |         20 |          0 |          6 |         26 |
| src/app/components/nucleoicons/nucleoicons.component.ts             | TypeScript |         19 |          0 |          5 |         24 |
| src/app/components/typography/typography.component.html             | HTML       |        114 |          0 |          1 |        115 |
| src/app/components/typography/typography.component.scss             | SCSS       |          0 |          0 |          1 |          1 |
| src/app/components/typography/typography.component.spec.ts          | TypeScript |         20 |          0 |          6 |         26 |
| src/app/components/typography/typography.component.ts               | TypeScript |         10 |          0 |          5 |         15 |
| src/app/register/register.component.html                            | HTML       |        124 |          0 |          8 |        132 |
| src/app/register/register.component.scss                            | SCSS       |          0 |          0 |          1 |          1 |
| src/app/register/register.component.spec.ts                         | TypeScript |         20 |          0 |          6 |         26 |
| src/app/register/register.component.ts                              | TypeScript |         34 |          0 |          4 |         38 |
| src/app/shared/navbar/navbar.component.html                         | HTML       |         76 |         93 |          2 |        171 |
| src/app/shared/navbar/navbar.component.scss                         | SCSS       |          0 |          0 |          1 |          1 |
| src/app/shared/navbar/navbar.component.spec.ts                      | TypeScript |         20 |          0 |          6 |         26 |
| src/app/shared/navbar/navbar.component.ts                           | TypeScript |        100 |          5 |         14 |        119 |
| src/app/success/chains/blocks/blocks.component.html                 | HTML       |         45 |         34 |          2 |         81 |
| src/app/success/chains/blocks/blocks.component.scss                 | SCSS       |         14 |          4 |          3 |         21 |
| src/app/success/chains/blocks/blocks.component.ts                   | TypeScript |         33 |          0 |          4 |         37 |
| src/app/success/chains/chains.component.html                        | HTML       |         48 |          0 |          4 |         52 |
| src/app/success/chains/chains.component.scss                        | SCSS       |         13 |          2 |          4 |         19 |
| src/app/success/chains/chains.component.ts                          | TypeScript |         41 |          1 |          7 |         49 |
| src/app/success/inventories/inventories.component.html              | HTML       |         71 |          0 |          4 |         75 |
| src/app/success/inventories/inventories.component.scss              | SCSS       |          4 |          2 |          1 |          7 |
| src/app/success/inventories/inventories.component.ts                | TypeScript |         86 |          0 |         11 |         97 |
| src/app/success/inventory/inventory.component.html                  | HTML       |        104 |          0 |          3 |        107 |
| src/app/success/inventory/inventory.component.scss                  | SCSS       |          4 |          2 |          1 |          7 |
| src/app/success/inventory/inventory.component.ts                    | TypeScript |         64 |          3 |          9 |         76 |
| src/app/success/partners/loggedprofile/loggedprofile.component.html | HTML       |        140 |          0 |          4 |        144 |
| src/app/success/partners/loggedprofile/loggedprofile.component.scss | SCSS       |          4 |          2 |          1 |          7 |
| src/app/success/partners/loggedprofile/loggedprofile.component.ts   | TypeScript |        139 |          0 |         13 |        152 |
| src/app/success/partners/partners.component.html                    | HTML       |         81 |          0 |          3 |         84 |
| src/app/success/partners/partners.component.scss                    | SCSS       |          7 |          2 |          2 |         11 |
| src/app/success/partners/partners.component.ts                      | TypeScript |         61 |          2 |          8 |         71 |
| src/app/success/partners/profiles/profiles.component.html           | HTML       |        132 |          5 |          1 |        138 |
| src/app/success/partners/profiles/profiles.component.scss           | SCSS       |          8 |          2 |          1 |         11 |
| src/app/success/partners/profiles/profiles.component.ts             | TypeScript |         30 |          0 |          4 |         34 |
| src/app/success/product/product.component.html                      | HTML       |         65 |         21 |          4 |         90 |
| src/app/success/product/product.component.scss                      | SCSS       |         15 |          2 |          4 |         21 |
| src/app/success/product/product.component.ts                        | TypeScript |         68 |         13 |         16 |         97 |
| src/app/success/success.component.html                              | HTML       |         94 |          0 |          2 |         96 |
| src/app/success/success.component.scss                              | SCSS       |         10 |          0 |          2 |         12 |
| src/app/success/success.component.ts                                | TypeScript |         16 |          0 |          5 |         21 |
| src/app/success/success.module.ts                                   | TypeScript |         19 |          0 |          5 |         24 |
| src/assets/css/demo.css                                             | CSS        |      1,035 |         42 |        222 |      1,299 |
| src/assets/css/nucleo-icons.css                                     | CSS        |        435 |         29 |        103 |        567 |
| src/assets/sass/paper-kit.scss                                      | SCSS       |         28 |         21 |          7 |         56 |
| src/assets/sass/paper-kit/_alerts.scss                              | SCSS       |         56 |          0 |          6 |         62 |
| src/assets/sass/paper-kit/_bootstrap-switch.scss                    | SCSS       |        220 |          0 |         35 |        255 |
| src/assets/sass/paper-kit/_buttons.scss                             | SCSS       |        197 |          1 |         24 |        222 |
| src/assets/sass/paper-kit/_cards.scss                               | SCSS       |        137 |          0 |         21 |        158 |
| src/assets/sass/paper-kit/_carousel.scss                            | SCSS       |        104 |          0 |          7 |        111 |
| src/assets/sass/paper-kit/_checkbox-radio.scss                      | SCSS       |        121 |         25 |         20 |        166 |
| src/assets/sass/paper-kit/_collapse.scss                            | SCSS       |         53 |          3 |          2 |         58 |
| src/assets/sass/paper-kit/_dropdown.scss                            | SCSS       |        403 |          5 |         39 |        447 |
| src/assets/sass/paper-kit/_examples.scss                            | SCSS       |        266 |          6 |         21 |        293 |
| src/assets/sass/paper-kit/_footers.scss                             | SCSS       |        207 |          1 |         22 |        230 |
| src/assets/sass/paper-kit/_icons.scss                               | SCSS       |        107 |          0 |          5 |        112 |
| src/assets/sass/paper-kit/_images.scss                              | SCSS       |         65 |          0 |          2 |         67 |
| src/assets/sass/paper-kit/_inputs.scss                              | SCSS       |        166 |          0 |         18 |        184 |
| src/assets/sass/paper-kit/_labels.scss                              | SCSS       |         29 |          1 |          1 |         31 |
| src/assets/sass/paper-kit/_misc.scss                                | SCSS       |        107 |          5 |         13 |        125 |
