filename, language, Markdown, JSON, JavaScript, HTML, TypeScript, SCSS, CSS, comment, blank, total
src/app/shared/navbar/navbar.component.ts, TypeScript, 0, 0, 0, 0, 100, 0, 0, 5, 14, 119
src/app/success/chains/blocks/blocks.component.html, HTML, 0, 0, 0, 45, 0, 0, 0, 34, 2, 81
src/app/success/chains/blocks/blocks.component.scss, SCSS, 0, 0, 0, 0, 0, 14, 0, 4, 3, 21
src/app/success/chains/blocks/blocks.component.ts, TypeScript, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
src/app/success/chains/chains.component.html, HTML, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
src/app/success/chains/chains.component.scss, SCSS, 0, 0, 0, 0, 0, 13, 0, 2, 4, 19
src/app/success/chains/chains.component.ts, TypeScript, 0, 0, 0, 0, 41, 0, 0, 1, 7, 49
src/app/success/inventories/inventories.component.html, HTML, 0, 0, 0, 71, 0, 0, 0, 0, 4, 75
src/app/success/inventories/inventories.component.scss, SCSS, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
src/app/success/inventories/inventories.component.ts, TypeScript, 0, 0, 0, 0, 86, 0, 0, 0, 11, 97
src/app/success/inventory/inventory.component.html, HTML, 0, 0, 0, 104, 0, 0, 0, 0, 3, 107
src/app/success/inventory/inventory.component.scss, SCSS, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
src/app/success/inventory/inventory.component.ts, TypeScript, 0, 0, 0, 0, 64, 0, 0, 3, 9, 76
src/app/success/partners/loggedprofile/loggedprofile.component.html, HTML, 0, 0, 0, 140, 0, 0, 0, 0, 4, 144
src/app/success/partners/loggedprofile/loggedprofile.component.scss, SCSS, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
src/app/success/partners/loggedprofile/loggedprofile.component.ts, TypeScript, 0, 0, 0, 0, 139, 0, 0, 0, 13, 152
src/app/success/partners/partners.component.html, HTML, 0, 0, 0, 81, 0, 0, 0, 0, 3, 84
src/app/success/partners/partners.component.scss, SCSS, 0, 0, 0, 0, 0, 7, 0, 2, 2, 11
src/app/success/partners/partners.component.ts, TypeScript, 0, 0, 0, 0, 61, 0, 0, 2, 8, 71
src/app/success/partners/profiles/profiles.component.html, HTML, 0, 0, 0, 132, 0, 0, 0, 5, 1, 138
src/app/success/partners/profiles/profiles.component.scss, SCSS, 0, 0, 0, 0, 0, 8, 0, 2, 1, 11
src/app/success/partners/profiles/profiles.component.ts, TypeScript, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
src/app/success/product/product.component.html, HTML, 0, 0, 0, 65, 0, 0, 0, 21, 4, 90
src/app/success/product/product.component.scss, SCSS, 0, 0, 0, 0, 0, 15, 0, 2, 4, 21
src/app/success/product/product.component.ts, TypeScript, 0, 0, 0, 0, 68, 0, 0, 13, 16, 97
src/app/success/success.component.html, HTML, 0, 0, 0, 94, 0, 0, 0, 0, 2, 96
src/app/success/success.component.scss, SCSS, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
src/app/success/success.component.ts, TypeScript, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
src/app/success/success.module.ts, TypeScript, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
src/assets/css/demo.css, CSS, 0, 0, 0, 0, 0, 0, 1035, 42, 222, 1299
src/assets/css/nucleo-icons.css, CSS, 0, 0, 0, 0, 0, 0, 435, 29, 103, 567
src/assets/sass/paper-kit.scss, SCSS, 0, 0, 0, 0, 0, 28, 0, 21, 7, 56
src/assets/sass/paper-kit/_alerts.scss, SCSS, 0, 0, 0, 0, 0, 56, 0, 0, 6, 62
src/assets/sass/paper-kit/_bootstrap-switch.scss, SCSS, 0, 0, 0, 0, 0, 220, 0, 0, 35, 255
src/assets/sass/paper-kit/_buttons.scss, SCSS, 0, 0, 0, 0, 0, 197, 0, 1, 24, 222
src/assets/sass/paper-kit/_cards.scss, SCSS, 0, 0, 0, 0, 0, 137, 0, 0, 21, 158
src/assets/sass/paper-kit/_carousel.scss, SCSS, 0, 0, 0, 0, 0, 104, 0, 0, 7, 111
